"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
10712,518692,"Freeman, Freddie",10844,98.8,0.309,0.206,0.344,0.515,0.385,0.385,0.293,747,2421,90.5,14.4,2248,89.4,89.58,1166,5403,5309,0.19999999999998863,6.38,116,149,128,151,295,323,304,"-163.022","163.022","68.5","6.7",2783,1985,454,186,8,99,461,16.6,299,10.7,2.32394,0.56849,0.34918,-0.20488,"92.0",169,44.7979797979798,10.353535353535353,7.366151634926338,5.73,-0.67,-0.1,2.36,0.39,205,"1.521863331",0.379,0.523,"-1.521863331",0.016,0.01100000000000001,-0.008,0,21.6,"37.0",7.811165318636249,2.7621992202682244,42.67400242510153,0.4079744816586922,39.206869181036296,25.715661572153376
9753,605141,"Betts, Mookie",9787,99.7,0.279,0.223,0.282,0.502,0.369,0.363,0.271,620,2223,90.5,19.6,2273,89.9,90.1,631,3987,5766,0.19999999999998863,6.4,108,151,121,145,303,323,296,"-131.711","131.711","67.1","6.9",2543,1906,366,128,11,115,340,13.4,276,10.9,2.23316,0.62665,0.35308,0.06908,"92.1",180,42.09143457698371,8.460325801366263,6.331104994101455,5.74,-0.74,0.23,2.28,0.361,161,"1.350466523",0.355,0.487,"-1.350466523",0.008,0.006000000000000005,0.015,0.006,15.8,"37.4",8.506686714932275,-3.4616145119381003,34.52108385452564,0.5169014084507042,38.00044347992324,32.52505017997128
9154,669257,"Smith, Will",9209,99.4,0.265,0.19,0.289,0.454,0.35,0.355,0.254,494,1866,89.8,17.7,2282,89.7,89.88,800,3970,5184,0.20000000000000284,6.4,108,151,122,146,305,322,294,"-76.591","76.591","66.7","7.1",2176,1506,312,92,8,82,389,17.9,242,11.1,2.27646,0.6122,0.30593,0.08039,"91.6",187,42.98070525615436,9.91350632069195,6.8474264705882355,5.74,-0.87,0.29,2.31,0.356,149,"0.836694341",0.35,0.473,"-0.836694341",0.011,0.006000000000000005,-0.019,-0.005,20.2,"37.5",10.79145131707966,2.4584898005932336,34.53879455060275,0.5920419763882816,36.82371007411291,30.00662832753829
8054,571970,"Muncy, Max",8103,99.4,0.217,0.231,0.241,0.448,0.343,0.359,0.226,337,1555,90.7,21.4,2264,88.5,88.62,892,3239,4815,0.09999999999999432,6.36,115,150,126,151,298,323,303,"-45.863","45.863","69.5","7.0",1892,1101,172,66,4,95,477,25.2,292,15.4,2.48324,0.4811,0.26833,-0.15835,"92.3",170,47.224749772520475,13.557779799818018,7.875264270613108,5.73,-0.92,-0.13,2.22,0.344,149,"0.569443755",0.353,0.479,"-0.569443755",-0.009,-0.009000000000000008,-0.031,-0.016,27.5,"37.0",16.42656262812254,-3.3526895923747184,34.402382949518724,0.46029776674937967,38.80958784579508,36.58742303093316
6010,660271,"Ohtani, Shohei",11137,54,0.294,0.334,0.324,0.628,0.422,0.434,0.29,385,1310,95.3,15.5,2259,89.5,89.77,871,2773,3237,0.29999999999999716,6.39,118,146,131,152,301,326,307,"-137.689","137.689","74.3","7.8",1540,951,191,64,16,114,368,23.9,204,13.2,2.34573,0.53551,0.34127,-0.15738,"94.4",172,59.15789473684211,22.526315789473685,13.896103896103895,5.77,-0.59,-0.11,2.32,0.392,214,"2.290998336",0.391,0.655,"-2.290998336",0.004,0.0010000000000000009,-0.027,-0.012,31.4,"37.9",12.611304857681557,-1.0873309399321116,35.833707023744374,0.5071428571428571,38.88352971201893,26.718796858073585
5005,606192,"Hernández, Teoscar",9786,51.1,0.263,0.221,0.318,0.484,0.342,0.337,0.249,304,1158,90.4,10.1,2286,89.5,89.76,839,2536,2469,0.29999999999999716,6.43,108,151,122,146,305,324,296,"-31.918","31.918","71.2","7.7",1261,824,175,64,3,62,341,27,83,6.6,2.34576,0.54492,0.29235,0.08709,"92.2",160,46.172539489671934,13.365735115431349,8.723235527359238,5.73,-0.94,0.25,2.27,0.316,110,"0.637722278",0.305,0.477,"-0.637722278",0.014,0.01100000000000001,0.007,0.005,33.1,"37.2",9.050256042858337,2.383843213883854,32.165954078838126,0.5043988269794721,38.86944050884699,28.998498633277187
4788,621035,"Taylor, Chris",5135,93.2,0.222,0.148,0.321,0.369,0.298,0.291,0.207,219,988,85.7,19.8,2250,89.2,89.42,858,2336,2452,0.20000000000000284,6.4,108,151,117,146,302,321,293,"11.871","-11.871","68.4","7.1",1119,621,136,49,5,29,374,33.4,113,10.1,2.28627,0.63296,0.33331,0.02668,"90.9",158,35.16129032258065,9.032258064516128,5.004468275245755,5.72,-0.47,0.15,2.33,0.307,56,"-0.247932331",0.295,0.363,"0.247932331",0.015,0.01200000000000001,0.006,0.007,36.7,"37.1",11.869805853266802,1.554936905680896,39.40971497177253,0.43784378437843785,40.403192110996095,33.25218116072757
4394,681624,"Pages, Andy",4401,99.8,0.271,0.184,0.318,0.455,0.334,0.323,0.257,285,1050,88.8,18.4,2298,89.9,90.1,536,2284,2110,0.19999999999998863,6.4,108,151,122,146,301,321,293,"-17.109","17.109","70.8","7.8",1138,799,184,54,2,45,261,22.9,62,5.4,2.27327,0.60155,0.30443,0.12971,"91.6",165,39.698492462311556,9.42211055276382,6.590509666080843,5.74,-0.92,0.16,2.38,0.318,75,"0.389371871",0.307,0.435,"-0.389371871",0.014,0.01100000000000001,0.02,0.011,23.5,"37.6",7.750295483130195,-2.8874088731123844,40.7867574066915,0.4630541871921182,38.360598104906465,30.13516404994564
3943,500743,"Rojas, Miguel",5776,68.3,0.261,0.112,0.284,0.373,0.303,0.298,0.258,264,1010,85.8,10.3,2266,89,89.22,306,1862,2081,0.20000000000000284,6.4,108,150,116,147,300,317,287,"7.177","-7.177","65.7","6.9",1109,891,188,57,1,18,134,12.1,76,6.9,2.34402,0.59176,0.30505,-0.02802,"91.2",146,30.855855855855857,3.153153153153153,2.5247971145175834,5.78,-0.39,0.17,2.27,0.316,28,"-0.182018767",0.315,0.352,"0.182018767",0.003,0.0010000000000000009,0.021,0.005,16.4,"38.8",4.424263582745968,-3.563279351285473,32.088997319577715,0.4141709276844412,36.74920781133923,32.871134475672605
3783,666158,"Lux, Gavin",5837,64.8,0.263,0.128,0.326,0.391,0.319,0.317,0.249,226,860,88.1,7.9,2223,89.3,89.46,387,1660,2123,0.20000000000000284,6.36,114,148,117,150,293,320,301,"-2.649","2.649","69.7","7.2",958,660,157,44,9,16,205,21.4,91,9.5,2.3313,0.57368,0.39984,-0.31005,"91.4",148,40.70121951219512,6.097560975609756,4.175365344467641,5.68,-1.24,-0.15,2.29,0.333,40,"0.070023791",0.323,0.386,"-0.070023791",0.014,0.010000000000000009,0.005,0.002,23.3,"36.2",9.453548258925792,4.116530565049127,33.23727397933621,0.454320987654321,36.40012990497309,32.182682634514535
