"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
6142,477132,"Kershaw, Clayton",6151,99.9,0.225,0.127,0.275,0.353,0.277,0.288,0.233,334,1483,88.4,11.7,2386,85.4,85.63,804,2994,3148,0.19999999999998863,6.45,108,153,118,147,299,316,290,"48.256","-48.256","71.2","7.6",1612,1114,227,64,4,39,382,23.7,107,6.6,2.5582,0.6272,-0.22405,0.13827,"92.3",137,38.489208633093526,5.66546762589928,3.9081885856079404,6.14,1.51,-0.05,2.08,0.28,63,"-0.785672419",0.288,0.366,"0.785672419",-0.008,-0.007999999999999952,-0.013,-0.011,26.9,"57.8",12.64764737659813,-7.347130029497513,33.50952916765535,0.5346062052505967,35.773442795389535,34.15557120944469
4641,808967,"Yamamoto, Yoshinobu",4649,99.8,0.199,0.117,0.263,0.316,0.256,0.273,0.213,209,1050,87.6,7.9,2137,90,90.4,629,2207,2434,0.4000000000000057,6.52,113,150,122,150,296,318,296,"59.067","-59.067","70.0","7.2",1147,731,136,47,2,24,327,28.5,84,7.3,2.46975,0.40243,0.27979,-0.00871,"91.7",138,39.56043956043956,6.868131868131869,4.3591979075850045,5.48,-1.61,-0.08,2.09,0.26,50,"-1.272721396",0.275,0.335,"1.272721396",-0.014,-0.015000000000000013,-0.019,-0.017,28.5,"44.0",8.272476262166226,-0.9442684716556113,33.868100838562874,0.4891670678863746,36.24136633768286,29.333874007826942
4471,628711,"Urías, Julio",4475,99.9,0.221,0.182,0.252,0.403,0.29,0.286,0.221,239,1083,86.4,16.9,2527,87.5,86.67,547,2274,2197,-0.7999999999999972,5.68,110,153,118,148,300,316,289,"3.074","-3.074","70.9","7.3",1171,810,140,48,4,47,283,24.2,65,5.6,2.27657,0.73948,-0.13372,-0.02969,"91.2",159,32.218091697645605,7.558859975216853,5.209222886421862,5.96,1.59,0.02,2.43,0.269,61,"-0.068754194",0.271,0.387,"0.068754194",0,-0.0020000000000000018,0.016,0.004,24.1,"43.2",9.977192781894905,-3.0477266345600706,31.860166775020286,0.5236842105263158,35.77686480491132,31.78332114186949
4288,664062,"Gonsolin, Tony",4296,99.8,0.203,0.164,0.226,0.368,0.284,0.323,0.24,198,974,89.3,14.7,2135,87.6,87.13,531,2091,2197,-0.5,5.96,112,154,121,150,297,317,296,"31.294","-31.294","70.0","7.3",1090,744,119,37,3,39,239,21.9,93,8.5,2.45765,0.53881,0.52285,-0.1299,"91.6",157,39.21832884097035,8.76010781671159,5.963302752293578,6.14,-0.94,0.3,2.17,0.281,65,"-0.729804104",0.314,0.431,"0.729804104",-0.037,-0.032999999999999974,-0.063,-0.039,25.4,"42.9",10.860495604960803,-3.317046804766235,32.021179474009344,0.5338208409506399,37.91384587026741,30.433471120787825
4045,681911,"Vesia, Alex",4090,98.9,0.19,0.128,0.267,0.318,0.265,0.272,0.187,161,847,87.4,23.2,2367,90.4,90.62,634,1993,2052,0.19999999999998863,6.38,110,151,120,149,296,315,292,"43.958","-43.958","68.7","7.0",971,541,105,29,2,25,319,32.9,99,10.2,1.60743,1.19799,0.14768,-0.10633,"91.0",178,37.15341959334565,9.426987060998151,5.25231719876416,5.86,0.66,-0.06,2.64,0.281,51,"-1.086724351",0.279,0.339,"1.086724351",0.003,0.0020000000000000018,-0.021,-0.007,31.8,"59.3",7.228954198731813,-0.2320899825227288,30.009916031873168,0.4927652733118971,36.50106377664844,28.419078889578696
3782,607192,"Glasnow, Tyler",5804,65.2,0.186,0.149,0.244,0.335,0.262,0.268,0.198,161,866,88.6,10.4,2627,91.7,93.79,514,1726,2056,2.0999999999999943,7.43,114,150,121,150,297,316,294,"36.27","-36.27","69.1","7.2",959,576,89,42,3,27,296,30.9,82,8.6,2.26035,0.47439,0.02001,0.04871,"91.7",149,38.67595818815331,8.013937282229964,4.796663190823774,6.03,-1.59,0.3,2.24,0.257,46,"-0.959016393",0.269,0.33,"0.959016393",-0.012,-0.01200000000000001,0.005,-0.006,29.8,"57.1",8.732903444153898,-0.060258561620001955,31.37996866206556,0.4971608832807571,36.27608946724479,29.23188631378
3130,676272,"Miller, Bobby",3136,99.8,0.259,0.185,0.303,0.443,0.333,0.327,0.251,185,715,89,10.4,2411,91.8,92.75,377,1481,1649,1,6.87,114,149,123,151,299,319,296,"-4.27","4.27","68.8","7.2",791,540,119,31,4,31,178,22.5,64,8.1,2.19018,0.57286,0.45984,-0.08721,"91.8",155,41.1873840445269,8.16326530612245,5.562579013906448,6,-1.2,0.12,2.16,0.326,44,"0.136421725",0.321,0.422,"-0.136421725",0.008,0.0050000000000000044,0.021,0.006,25.5,"46.9",9.048726487593406,-2.248399333821779,32.65330497559069,0.45849802371541504,35.81844995426792,30.649751522479413
2876,669160,"May, Dustin",3698,77.8,0.219,0.15,0.257,0.369,0.299,0.32,0.243,147,672,89.3,10.9,2643,92,92.3,271,1308,1568,0.29999999999999716,6.56,112,151,120,150,294,316,298,"13.428","-13.428","70.2","7.1",765,517,92,29,6,20,160,20.9,73,9.5,2.30365,0.42492,0.28371,-0.04767,"92.1",152,41.47286821705426,7.170542635658915,4.836601307189543,5.1,-2.2,-0.09,2.34,0.308,37,"-0.46689847",0.331,0.394,"0.46689847",-0.024,-0.02300000000000002,-0.025,-0.021,20.7,"22.9",7.4693855282988855,1.4844727599274796,33.55766478379749,0.501412429378531,35.82816462762656,29.00831939518567
2847,623465,"Phillips, Evan",2864,99.4,0.188,0.104,0.251,0.292,0.238,0.263,0.207,123,655,86.1,13.5,2444,90.8,91.06,390,1334,1513,0.29999999999999716,6.46,113,151,121,149,298,317,294,"43.763","-43.763","68.2","7.0",717,451,84,24,1,14,212,29.6,47,6.6,2.20182,0.59576,-0.23472,-0.16301,"90.9",149,33.55555555555556,5.555555555555555,3.486750348675035,5.3,-2.38,0.2,2.21,0.248,25,"-1.537161925",0.267,0.327,"1.537161925",-0.019,-0.019000000000000017,-0.035,-0.025,29.2,"26.8",5.669590708158998,3.6012593886140025,32.16277621084373,0.4473257698541329,37.48798761643223,26.658165238825784
2700,694813,"Stone, Gavin",2702,99.9,0.266,0.177,0.298,0.443,0.329,0.325,0.263,179,673,87.8,10.9,2025,91.1,91.62,354,1364,1336,0.5,6.59,114,150,121,150,295,317,293,"-6.393","6.393","69.8","7.3",732,540,115,35,3,26,138,18.9,50,6.8,2.01356,0.75032,0.70872,-0.06529,"91.6",152,36.61710037174721,6.877323420074349,5.05464480874317,5.6,-1.92,-0.08,2.11,0.319,37,"0.236777778",0.317,0.426,"-0.236777778",0.003,0.0020000000000000018,0.017,0.004,26,"47.4",9.727489954251695,-2.2213293369626177,33.525797293837044,0.47791519434628976,36.79994753894344,30.268060365296392
