"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
15129,621566,"Olson, Matt",15251,99.2,0.263,0.25,0.295,0.513,0.369,0.364,0.25,805,3063,92.5,15.8,2248,89.3,89.54,1921,7199,7930,0.20000000000000284,6.42,116,154,130,151,302,328,303,"-173.652","173.652","72.5","7.3",3558,2277,421,190,6,188,815,22.9,436,12.3,2.2948,0.61233,0.33909,-0.1476,"92.8",175,51.1443661971831,13.996478873239438,8.937605396290051,5.82,-0.73,-0.15,2.42,0.357,318,"1.147808844",0.349,0.502,"-1.147808844",0.013,0.008000000000000007,0.011,0.005,26.7,"38.4",7.816896118146044,0.8548614367391127,34.151416344992434,0.439766081871345,37.79093716708374,32.63729988693415
14318,665742,"Soto, Juan",14527,98.6,0.277,0.244,0.29,0.521,0.4,0.425,0.288,769,2778,92.6,8.5,2234,89.2,89.27,1073,5150,9168,0.09999999999999432,6.4,116,150,125,151,298,327,305,"-284.392","284.392","72.0","7.1",3488,2220,453,130,10,176,580,16.6,671,19.2,2.37061,0.54493,0.39739,-0.20409,"93.8",159,53.408577878103834,15.349887133182843,9.747706422018348,5.75,-0.6,-0.14,2.17,0.418,340,"1.986255064",0.429,0.573,"-1.986255064",-0.011,-0.01100000000000001,-0.052,-0.025,20.8,"37.6",10.720275616798084,4.613392681040087,27.43347635426907,0.5999219359875098,39.203557683313825,23.579083382788337
14076,656941,"Schwarber, Kyle",14153,99.5,0.231,0.282,0.26,0.513,0.37,0.385,0.242,642,2779,93.1,17.9,2239,88.9,88.94,1757,5650,8426,0,6.37,118,153,127,152,296,326,300,"-164.308","164.308","74.5","7.6",3330,1840,308,106,6,222,955,28.7,501,15,2.37041,0.57027,0.32994,-0.14199,"94.0",166,54.352557127312295,18.280739934711644,10.09009009009009,5.84,-0.48,-0.21,2.23,0.353,336,"1.167291844",0.363,0.543,"-1.167291844",-0.011,-0.010000000000000009,-0.03,-0.015,31.1,"38.3",13.583438448973022,-4.153140652285052,29.71176728373317,0.640625,35.70196781907577,31.797796455186532
13673,608070,"Ramírez, José",14013,97.6,0.276,0.233,0.271,0.509,0.359,0.347,0.273,836,3026,89.1,19.4,2200,88.6,88.77,966,6347,7326,0.20000000000000284,6.38,113,153,124,149,294,322,296,"-141.187","141.187","69.3","7.2",3422,2653,469,188,20,159,405,11.8,340,9.9,2.37062,0.5739,0.3982,-0.39798,"92.5",164,39.21420476010578,8.009066868152626,6.19520748100526,5.78,-0.84,-0.15,2.26,0.351,212,"1.032597089",0.351,0.467,"-1.032597089",0.003,0,0.042,0.012,15.2,"38.7",8.351524284940943,-7.4131756381400145,29.882746148509582,0.5767607919506653,32.773308372130934,31.477897393087073
13573,596019,"Lindor, Francisco",13620,99.7,0.259,0.2,0.282,0.459,0.344,0.35,0.258,775,2993,90.1,15.6,2233,89.1,89.25,1467,6487,7086,0.10000000000000853,6.41,113,149,116,149,296,324,299,"-88.747","88.747","69.9","7.4",3396,2392,472,149,13,141,634,18.7,314,9.2,2.32229,0.60318,0.38142,-0.38195,"92.2",164,44.216261525565805,9.97485331098072,7.0082449941107186,5.79,-0.78,-0.08,2.31,0.338,238,"0.653849554",0.339,0.469,"-0.653849554",0.001,-0.0010000000000000009,-0.01,-0.006,22.6,"38.6",10.880464208343932,-0.7008441535184705,33.544383184865616,0.5249138201190849,35.217163141054684,29.022542392969903
13544,668227,"Arozarena, Randy",13579,99.7,0.249,0.178,0.314,0.427,0.337,0.32,0.224,716,2872,90.5,10.7,2267,89.1,89.12,1765,5902,7642,0,6.4,107,151,119,147,302,326,293,"-74.8","74.8","70.1","7.3",3314,2041,436,160,10,110,852,25.7,327,9.9,2.30996,0.61652,0.31877,0.09126,"92.5",150,45.329400196656835,9.68534906588004,5.944477972238986,5.79,-0.82,0.22,2.22,0.343,197,"0.55227407",0.323,0.397,"-0.55227407",0.025,0.020000000000000018,0.03,0.017,29.9,"39.5",8.83416573876928,1.1064112762494769,25.13580471506801,0.6332277367124252,35.19276580998556,30.893953353942
13394,660271,"Ohtani, Shohei",13709,97.7,0.285,0.319,0.323,0.604,0.409,0.42,0.282,830,2912,94.2,14.4,2225,89.1,89.25,1990,6296,7098,0.20000000000000284,6.38,117,151,130,152,301,328,307,"-278.669","278.669","74.4","7.8",3421,2073,410,146,38,236,856,25,459,13.4,2.33726,0.57702,0.36013,-0.18872,"93.8",170,55.512572533849124,20.889748549323016,12.627886582870506,5.81,-0.61,-0.18,2.31,0.385,432,"2.080550993",0.384,0.632,"-2.080550993",0.003,0.0010000000000000009,-0.028,-0.011,31.6,"39.2",12.628175992919344,-1.253840850389878,35.709496230250366,0.5072220356063151,38.750909768565705,26.852988004459096
13360,543760,"Semien, Marcus",13377,99.9,0.252,0.191,0.267,0.443,0.329,0.323,0.247,792,3142,88.2,19.1,2259,88.9,88.94,1305,6353,7007,0,6.36,108,152,120,146,303,326,293,"-60.011","60.011","66.4","7.6",3502,2586,484,155,14,139,585,16.7,309,8.8,2.31906,0.61456,0.28822,0.03565,"91.4",162,36.78696158323632,7.2953046177726035,5.368360936607653,5.81,-0.78,0.29,2.26,0.32,188,"0.449184132",0.318,0.422,"-0.449184132",0.005,0.0020000000000000018,0.021,0.006,20.5,"39.0",13.575851499243301,-3.8828604684592802,33.52268550940465,0.5528396836808052,33.87286805601371,29.884360915851218
13291,664023,"Happ, Ian",13330,99.7,0.246,0.189,0.301,0.435,0.338,0.337,0.24,688,2796,89.8,13.1,2223,89.4,89.61,1653,6029,7262,0.19999999999998863,6.39,114,149,120,149,295,322,299,"-64.642","64.642","70.2","6.8",3232,2021,399,165,9,115,795,24.6,391,12.1,2.25034,0.64487,0.42558,-0.42421,"91.9",161,42.33830845771144,9.800995024875622,6.09529702970297,5.78,-0.95,-0.07,2.36,0.342,197,"0.48635919",0.338,0.429,"-0.48635919",0.006,0.0040000000000000036,0.006,0.001,27.4,"38.2",9.024238672926908,-2.207026631393578,32.365580284938055,0.4326072157930565,37.3066589688564,32.17456277128339
13288,518692,"Freeman, Freddie",13478,98.6,0.307,0.206,0.339,0.514,0.384,0.39,0.296,921,2998,90.6,13.9,2238,89.4,89.59,1442,6722,6566,0.19999999999998863,6.37,117,152,130,151,296,324,304,"-204.405","204.405","68.5","6.7",3452,2463,572,209,10,130,562,16.3,381,11,2.29712,0.59411,0.37034,-0.2076,"92.0",169,44.97354497354497,10.622710622710622,7.560834298957126,5.75,-0.7,-0.09,2.37,0.39,261,"1.53826761",0.383,0.534,"-1.53826761",0.011,0.007000000000000006,-0.02,-0.006,21.5,"37.3",7.7892882372154215,2.82785113967876,42.658643510207995,0.4077922077922078,39.22083030542509,25.682859475153755
